 docno              rank  score               
 29249357198925824  1     1.0                 
 35089317466611712  2     0.5894218256181447  
 33772350126170112  3     0.586966583356475   
 31473022334406656  4     0.5216783216783217  
 29137125198790656  5     0.5142532744008759  
 28986511085019136  6     0.5117010974822467  
 30986676373299200  7     0.4853425181783391  
 33498067017662464  8     0.4757474584536895  
 35092661492785152  9     0.47370386971462725 
 32179064399724544  10    0.46631857626121487 
 28978923115118592  11    0.4629818925233645  
 30268767489495042  12    0.45357653791130187 
 33358689939230721  13    0.4422205174698375  
 29771822325039104  14    0.43565784953624187 
 29673906474323968  15    0.4238069776767812  
 29320804265099264  16    0.42138490164805953 
 29648318095167488  17    0.4149959641353433  
 29659822941011968  18    0.4134985327681774  
 34299591817953280  19    0.41261061946902655 
 32567381498798080  20    0.41167305070440824 
 30151795992961024  21    0.4053570287029342  
 29870190472728577  22    0.40411700975081255 
 32243896960425984  23    0.4036796536796537  
 32535313721069568  24    0.3988050314465409  
 35087122025156608  25    0.3959907575095235  
 34986994341904384  26    0.3954351283090643  
 30646971995791360  27    0.3920126116657909  
 29701617401995264  28    0.38713025428126624 
 34182614742990848  29    0.38565867899282325 
 29404022062452736  30    0.3823449606560343  
 29525500988760064  31    0.37970059880239526 
 31463984032907264  32    0.3789291263296283  
 35088041513062401  33    0.37766527695056584 
 32514738868981760  34    0.37737308813902276 
 30247598145146880  35    0.3761493286931762  
 30952315217256448  36    0.3759634768172655  
 32508699322880000  37    0.36748768472906407 
 32864220928413696  38    0.36674378253325624 
 30140350932713473  39    0.36653179190751445 
 30537401403187200  40    0.3632353783582517  
 30299159303032833  41    0.3621824620525196  
 34190689608671233  42    0.3600386100386101  
 34072740520525826  43    0.35768276173285196 
 29769999937699840  44    0.35685744836513034 
 33478655317381120  45    0.3559360089811956  
 32469205735444480  46    0.3556764639892305  
 29290483079454720  47    0.3536925479696564  
 32863484714684416  48    0.3526238715776595  
 35039140093370368  49    0.350041402152912   
 29393625754370049  50    0.3483109035979127  
 30356287451566080  51    0.3462189462189462  
 31773747400679424  52    0.34567160924552987 
 35048469081096192  53    0.34376016480537785 
 34496831861821440  54    0.3376344467715026  
 33921889080446976  55    0.3368035268497371  
 32865219659177984  56    0.3362676989977197  
 29512216868823040  57    0.33437038599451596 
 30315675549442049  58    0.33303571428571427 
 30218948943286272  59    0.3324246395806029  
 30170313530548224  60    0.33110542530416165 
 28975222640091136  61    0.32759867741268855 
 33236469619359744  62    0.32726897370390445 
 30224947863363584  63    0.32697365028618575 
 30387462714957824  64    0.32589813434753556 
 31471385196888064  65    0.3239418631382666  
 30157943630467072  66    0.3212747631352283  
 32861255580520448  67    0.3207709429380817  
 32510133695156224  68    0.31824341279799245 
 30627575004930049  69    0.31650403054730586 
 34896186330583040  70    0.31580257980975146 
 31422901240463361  71    0.3131976686752939  
 32532701198155776  72    0.3131512667292212  
 33377036537958400  73    0.3130430489731438  
 30568957802971137  74    0.30915872358060503 
 30224456668418048  75    0.30901559454191035 
 30213489180016640  76    0.30901559454191035 
 30336520711839744  77    0.3087147030185005  
 29357616920526848  78    0.3060032815365312  
 34996750431297536  79    0.30264413898434517 
 29367813223227392  80    0.2999054075358663  
 29573655876866048  81    0.2985404896421846  
 34560011514417152  82    0.29810540172065253 
 29651828127834114  83    0.29674520906942464 
 30216730722701312  84    0.2949713913569335  
 33453698394886144  85    0.29415039198404236 
 32566844632080384  86    0.2934018138071442  
 33719078728376320  87    0.2925625173018363  
 29793736229658624  88    0.29246131494592165 
 35089146615832576  89    0.2912188849086066  
 33139829407485953  90    0.2910718384209318  
 31164292132773888  91    0.2910718384209318  
 30172846525251585  92    0.2894706808792313  
 30147216362446848  93    0.2894706808792313  
 34001087379800064  94    0.2871569604202518  
 30411567761727489  95    0.28704971650388744 
 29543023545159680  96    0.2863012461621817  
 35089258658144256  97    0.286004239772676   
 29155010998706176  98    0.285965545233156   
 32800780180262912  99    0.28505282085861994 
